08415;Reutlingen;;RT; BW;Reutlingen;293.483;1.092,46;269;
05362;Rhein-Erft-Kreis;;BM; NW;Bergheim;477.988;704,70;678;
06439;Rheingau-Taunus-Kreis;;RÜD, SWA; HE;Bad Schwalbach;185.651;811,42;229;
07140;Rhein-Hunsrück-Kreis;;SIM, GOA; RP;Simmern/Hunsrück;106.705;991,07;108;
05378;Rheinisch-Bergischer Kreis;;GL; NW;Bergisch Gladbach;284.273;437,32;650;
05162;Rhein-Kreis Neuss;;NE, GV; NW;Neuss;457.077;576,44;793;
07141;Rhein-Lahn-Kreis;;EMS, DIZ, GOH; RP;Bad Ems;125.588;782,18;161;
08226;Rhein-Neckar-Kreis;;HD; BW;Heidelberg[FN 2];558.561;1.061,54;526;
07338;Rhein-Pfalz-Kreis;;RP; RP;Ludwigshafen am Rhein[FN 2];155.882;305,01;511;
05382;Rhein-Sieg-Kreis;;SU; NW;Siegburg;605.441;1.153,20;525;
09673;Rhön-Grabfeld;;NES, KÖN, MET; BY;Bad Neustadt an der Saale;79.375;1.021,69;78;
09187;Rosenheim;;RO, AIB, WS; BY;Rosenheim[FN 2];258.637;1.439,43;180;
13072;Rostock;;LRO, BÜZ, DBR, GÜ, ROS, TET; MV;Güstrow;218.721;3.431,22;64;
03357;Rotenburg (Wümme);;ROW, BRV; NI;Rotenburg (Wümme);165.904;2.074,77;80;
09576;Roth;;RH, HIP; BY;Roth;128.632;895,15;144;
09277;Rottal-Inn;;PAN, EG, GRI, VIB; BY;Pfarrkirchen;120.497;1.281,20;94;
08325;Rottweil;;RW; BW;Rottweil;140.237;769,43;182;
16074;Saale-Holzland-Kreis;;SHK, EIS, SRO; TH;Eisenberg;83.342;815,26;102;
15088;Saalekreis;;SK, MER, MQ, QFT; ST;Merseburg;182.451;1.434,01;127;
16075;Saale-Orla-Kreis;;SOK, LBS, PN, SCZ; TH;Schleiz;77.341;1.151,32;67;
16073;Saalfeld-Rudolstadt;;SLF, RU; TH;Saalfeld/Saale;100.105;1.008,77;99;
10041;Saarbrücken, Regionalverband[FN 1];;SB, (VK); SL;Saarbrücken;333.149;410,95;811;
10044;Saarlouis;;SLS; SL;Saarlouis;205.129;459,35;447;
10045;Saarpfalz-Kreis;;HOM, (IGB); SL;Homburg;144.092;418,28;344;
14628;Sächsische Schweiz-Osterzgebirge;;PIR, DW, FTL, SEB; SN;Pirna;243.996;1.654,21;148;
